volume,height,objective
5,100,
5,150,
5,200,1
5,250,
5,300,
5,350,
5,400,
5,450,
5,500,
5,550,
5,600,
5,650,
5,700,
5,750,
5,800,2
6,100,
6,150,
6,200,
6,250,
6,300,
6,350,
6,400,
6,450,
6,500,
6,550,
6,600,
6,650,
6,700,
6,750,
6,800,
7,100,
7,150,
7,200,
7,250,
7,300,
7,350,
7,400,
7,450,
7,500,
7,550,
7,600,
7,650,
7,700,
7,750,
7,800,
8,100,
8,150,
8,200,
8,250,
8,300,
8,350,
8,400,
8,450,
8,500,
8,550,
8,600,
8,650,
8,700,
8,750,
8,800,
9,100,
9,150,
9,200,
9,250,
9,300,
9,350,
9,400,
9,450,
9,500,
9,550,
9,600,
9,650,
9,700,
9,750,
9,800,
10,100,
10,150,
10,200,
10,250,
10,300,
10,350,
10,400,
10,450,
10,500,
10,550,
10,600,
10,650,
10,700,
10,750,
10,800,
11,100,
11,150,
11,200,
11,250,
11,300,
11,350,
11,400,
11,450,
11,500,
11,550,
11,600,
11,650,
11,700,
11,750,
11,800,
12,100,
12,150,
12,200,
12,250,
12,300,
12,350,
12,400,
12,450,
12,500,
12,550,
12,600,
12,650,
12,700,
12,750,
12,800,
13,100,
13,150,
13,200,
13,250,
13,300,
13,350,
13,400,
13,450,
13,500,
13,550,
13,600,
13,650,
13,700,
13,750,
13,800,
14,100,
14,150,
14,200,
14,250,
14,300,
14,350,
14,400,
14,450,
14,500,
14,550,
14,600,
14,650,
14,700,
14,750,
14,800,
15,100,
15,150,
15,200,
15,250,
15,300,
15,350,
15,400,1
15,450,
15,500,
15,550,
15,600,
15,650,
15,700,
15,750,
15,800,
16,100,
16,150,
16,200,
16,250,
16,300,
16,350,
16,400,
16,450,
16,500,
16,550,
16,600,
16,650,
16,700,
16,750,
16,800,
17,100,
17,150,
17,200,
17,250,
17,300,
17,350,
17,400,
17,450,
17,500,
17,550,
17,600,
17,650,
17,700,
17,750,
17,800,
18,100,
18,150,
18,200,
18,250,
18,300,
18,350,
18,400,
18,450,
18,500,
18,550,
18,600,
18,650,
18,700,
18,750,
18,800,
19,100,
19,150,
19,200,
19,250,
19,300,
19,350,
19,400,
19,450,
19,500,
19,550,
19,600,
19,650,
19,700,
19,750,
19,800,
20,100,
20,150,
20,200,
20,250,
20,300,
20,350,
20,400,
20,450,
20,500,
20,550,
20,600,
20,650,
20,700,
20,750,
20,800,
21,100,
21,150,
21,200,
21,250,
21,300,
21,350,
21,400,
21,450,
21,500,
21,550,
21,600,
21,650,
21,700,
21,750,
21,800,
22,100,
22,150,
22,200,
22,250,
22,300,
22,350,
22,400,
22,450,
22,500,
22,550,
22,600,
22,650,
22,700,
22,750,
22,800,
23,100,
23,150,
23,200,
23,250,
23,300,
23,350,
23,400,
23,450,
23,500,
23,550,
23,600,
23,650,
23,700,
23,750,
23,800,
24,100,
24,150,
24,200,
24,250,
24,300,
24,350,
24,400,
24,450,
24,500,
24,550,
24,600,
24,650,
24,700,
24,750,
24,800,
25,100,
25,150,
25,200,0
25,250,
25,300,
25,350,
25,400,
25,450,
25,500,
25,550,
25,600,
25,650,
25,700,
25,750,
25,800,1
